StudyN	EffectsizeID	Authors	FirstA	YearPubl	Title	Journal	Notes	Group	ExDis	CatDis	Diagnosis1	Age	Diagnosis2	Diagnosis3	Diagnosis4	Ne	Nc	ni	Country	Gender	PercMale	MeanAgeExp	SdevAgeExp	MeanAgeCon	SdevAgeCon	AvAge	ToolDiag	Informants	OtherMeas	Comorbidity	YesCom	NameCom	ComCat	Split	ExpParad	ParadigmFrom	AdjustedParadigm 	Symbols	ErrorRate	FeedbackGiven	Task_FB	SignBehRes	OtherSigRes	OtherERPcomp	ERP	Medication1	Medication2	HoursMedication	Me	Se	Mc	Sc	N_trials	"N final/Error trials in analysis c;e"	PrGrDif	Latency	Window	TE	seTE	
1	1	Albrecht et al. 2008	Albrecht	2008	Action monitoring in boys with attention-deficit/hyperactivity disorder, their nonaffected siblings and normal control subjects: evidence for an endophenotype	Biological Psychiatry	part of larger study	Clinical	ADHD	ADHD	Clinical ADHD	Child	Child ADHD	Child ADHD	C_A_YesOff	68	22	90	DE/CH	Male	100	11,325	1,583	11,175	1,7167	11,25	"Connors adult ADHD rating scale; SDQ; PACS. "	Multiple	IQ	Yes	Disorders	mood, tourette, substance, ocd, odd, cd, anxiety	YesMix		EriksenFlanker	Kopp et al. 	No	Arrows		Yes	E_Y	performance		Yes	N2, Pne, P3, p-p	Yes	YesOff	48	-5,7000	4,3000	-8,1000	3,4000	400	25	Yes	0-150	broad	0,5799	0,0621	Albrecht
2	2	Balogh et al. 2017	Balogh	2017	Neural correlates of error monitoring in adult attention deficit hyperactivity disorder after failed inhibition in an emotional go/no-go task	Journal of Neuropsychiatry and Clinical Neuroscience		Clinical 	ADHD	ADHD	Clinical ADHD	Adult	Adult ADHD	Adult ADHD	A_A_YesOff	26	14	40	Hungary	Both	77,5	26,7	5,7	31,5	11,4	29,1	"DSM; CAARS"	Specialist	SCL-90R	Yes	Disorders	"Depression; Dystymia, somatization; panic"	YesInt		GoNoGo		Yes	Faces	.15	No	G_N	performance		No		Yes	YesOff	24	-1,7000	0,9000	-1,5000	1,4000	240	6	No	20-70	small	-0,1787	0,1103	Balogh
3	3	Brazil et al. 2009	Brazil	2009	Early and late components of error monitoring in violent offenders with psychopahty	Biological Psychiatry	Two conditions, first most applicable	Clinical	Other	Other	Clinical Other	Adult	Adult Other	Other	O_No	16	18	34	NL	Male	100	39	9,5	37	6,4	38	"PCL-R; MINI"	Multiple	"STAI; BIS/BAS; educational level"	No			No 	?26	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	HS		No	E_N	performance		No		N_U	No		-6,3400	5,2000	-8,5600	4,2200	400	-999	No	0-150	broad	0,4607	0,1216	Brazil
4	4	Chang et al. 2009	Chang	2009	Error monitoring in college students with attention-deficit/hyperactivity disorder	Journal of psychophysiology		Clinical	ADHD	ADHD	Clinical ADHD	Adult	Adult ADHD	Adult ADHD	A_A_YesOff	36	32	68	USA	Both	50	23,69	3,73	23,68	3,65	23,685	"CAARS; ARS"	Self-report	ASR, IQ, BRIEF-A	Yes	Symptoms	depr, anx, avoint person, ADHD, antisocial pers	YesMix	999	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	HS	between 10 to 30%	No	E_N	self reported performance, performance, rela btwn ERP+self reported behavior		No		Yes	YesOff	2	-5,4800	2,9000	-8,6000	5,5400	480	29	Yes	(-10)-180	broad	0,7099	0,0629	Chang
5	5	Chen et al. 2013	Chen	2013	Case-control study of error-related negativity among males with heroin dependence undergoing rehabilitation	Shanghai Archives of Psychiatry	Look at 'crude' wave	Clinical	Addiction	Heroin	Clincal Addiction	Adult	Adult Addiction	Clinical Addiction	D_Unknown	20	15	35	China	Male	100	37,1	9,5	32,5	9,9	34,8	DSM-IV	Specialist	yrs of edu	No			No 		EriksenFlanker	Eriksen & Eriksen, 1974	No	HA		No	E_N	RT and variance in (in)corr answers		No		N_U	Unknown		-3,4000	2,6000	-4,6000	2,4000	800	"17;15"	Yes	0-100	broad	0,4658	0,1201	Chen
6	6	Franken et al. 2007	Franken	2007	Error-processing deficits in patients with cocaine dependence	Biological Psychology	patients were min 1 month clean	Clinical	Addiction	Cocaine	Clincal Addiction	Adult	Adult Addiction	Clinical Addiction	D_Unknown	14	13	27	NL	Both	77,78	38,1	10,2	32	13,8	35,05	DSM-IV	Specialist	previous heroin use	No			No 		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	performance	educational level	Yes	"N1; N2; P3"	N_U	Unknown		-5,1209	5,4324	-10,2436	5,0726	400	"35;58"	No	25-75	small	0,9438	0,1675	Franken
7	7	Franken et al. 2017	Franken	2017	Cognitive control in young heavy drinkers: An ERP study	Drug and Alcohol Dependence	light' and heavy drinkers. Two inhibition tasks used, consider separate study?	Subclinical	Addiction	Alcohol	Subclincal Addiction	Adult	Adult Addiction	Subclinical Addiction	S_Unknown	48	49	97	NL	Both	49	23,4	10	22,9	8,5	23,15	QFV index	Self-report		No			No 	QFV: excessive = heavy	EriksenFlanker	Little et al., 2012 & Eriksen & Eriksen, 1974	No	"flanker: SH; go/nogo: letters"		Yes	E_Y	performance (fl)		Yes	"N2; P3"	N_U	Unknown		-5,8017	4,6268	-5,7898	5,1693	400	"26;25"	No	25-75	small	-0,0024	0,0412	Franken
8	8	Groom et al. 2010	Groom	2010	Electrophysiological indices of abnormal error-processing in adolescents with attention deficit hyperactivity disorder (ADHD)	Journal of Child Psychology and Psychiatry	Sample from larger study, Groom et al. 2008	Clinical	ADHD	ADHD	Clinical ADHD	Child	Child ADHD	Child ADHD	C_A_YesOff	23	19	42	UK	Both	73,81	16,2	0,28	16,14	2,03	16,17	PACS, SDQ, SCQ	Multiple	IQ, SES, SCAN	Yes	Disorders	CD, ODD	YesExt		GoNoGo		No	KX	.2	No	G_N	performance		Yes	theta power, ITC	Yes	YesOff	24	-1,6200	2,4800	-2,6800	4,3200	304	"32;36"	Yes	(-50)-100	small	0,303	0,0973	Groom
9	9	Groom et al. 2013	Groom	2013	Motivational incentives and methylphenidate enhance electrophysiological correlates of error monitoring in children with attention deficit/hyperactivity disorder	Journal of Child Psychology and Psychiatry	Two high incentive conditions	Clinical	ADHD	ADHD	Clinical ADHD	Child	Child ADHD	Child ADHD	C_A_YesOn	28	28	56	UK	Both	96,43	12,51	1,75	12,54	1,81	12,525	Medical records (ICD-10)	Specialist	"DAWBA; CDC; SDQ; SCQ, CLRS-r, SES"	Yes	Disorders	"CD/ODD; Depr/Anx"	YesMix		GoNoGo		Yes	space theme: gren aliens	.25 and algorithm	Yes	G_Y	motivation performance		No		Yes	YesOn	48	-3,8100	2,0600	-4,8000	2,5900	40	-999	Yes	(-10)-100	small	0,4172	0,0731	Groom
10	10	Littel et al. 2012	Littel 	2012	Error processing and response inhibiiton in excessivve computer game players: An event-related potential study	Addiction Biology		Subclinical	Addiction	Gaming	Subclincal Addiction	Adult	Adult Addiction	Subclinical Addiction	S_No	25	27	52	NL	Both	63,46	20,52	2,95	21,42	2,59	20,97	VAT (CIUS)	Self-report	"VEIQ; QFV"	No			No 	2,5 VAT score	GoNoGo		Yes	ABCD/ABCC 		No	G_N	performance	higher impulsivity scores	Yes	"N1; P3"	N_U	No		1,3400	2,4990	-2,2500	3,8290	636	26	Yes	0-75ms	small	1,0849	0,0892	Littel 
