StudyN	EffectsizeID	Authors	FirstA	YearPubl	Title	Journal	Notes	Group	ExDis	CatDis	Diagnosis1	Diagnosis2	Diagnosis3	Diagnosis4	Age	Ne	Nc	ni	Country	Gender	PercMale	MeanAgeExp	SdevAgeExp	MeanAgeCon	SdevAgeCon	AvAge	ToolDiag	Informants	OtherMeas	Comorbidity	YesCom	NameCom	ComCat	Split	ExpParad	ParadigmFrom	AdjustedParadigm 	Symbols	ErrorRate	FeedbackGiven	Task_FB	SignBehRes	OtherSigRes	OtherERPcomp	ERP	Medication1	Medication2	HoursMedication	Me	Se	Mc	Sc	Latency	Window	PrGrDif	N_trials	TE	seTE
1	1	Albrecht et al. 2008	Albrecht	2008	Action monitoring in boys with attention-deficit/hyperactivity disorder, their nonaffected siblings and normal control subjects: evidence for an endophenotype	Biological Psychiatry	part of larger study	Clinical	ADHD	ADHD	Clinical ADHD	Child ADHD	Child ADHD	C_A_YesOff	Child	68	22	90	DE/CH	Male	100	11,325	1,583	11,175	1,7167	11,25	"Connors adult ADHD rating scale; SDQ; PACS. "	Multiple	IQ	Yes	Disorders	mood, tourette, substance, ocd, odd, cd, anxiety	YesMix		EriksenFlanker	Kopp et al. 	No	Arrows		Yes	E_Y	performance		Yes	N2, Pne, P3, p-p	Y	YesOff	48	8,0000	4,4000	9,1000	4,1000	200-500	late	Yes	400	-0,2519	0,0605
2	2	Balogh et al. 2017	Balogh	2017	Neural correlates of error monitoring in adult attention deficit hyperactivity disorder after failed inhibition in an emotional go/no-go task	Journal of Neuropsychiatry and Clinical Neuroscience		Clinical 	ADHD	ADHD	Clinical ADHD	Adult ADHD	Adult ADHD	A_A_YesOff	Adult	26	14	40	Hungary	Both	77,5	26,7	5,7	31,5	11,4	29,1	"DSM; CAARS"	Specialist	SCL-90R	Yes	Disorders	"Depression; Dystymia, somatization; panic"	YesInt		GoNoGo		Yes	Faces	.15	No	G_N	performance		No		Y	YesOff	24	2,2000	0,5099	3,1000	0,374165739	100-300	early	No	240	-1,8852	0,1543
3	3	Brazil et al. 2009	Brazil	2009	Early and late components of error monitoring in violent offenders with psychopahty	Biological Psychiatry	Two conditions, first most applicable	Clinical	Other	Other	Clinical Other	Adult Other	Other	O_No	Adult	16	18	34	NL	Male	100	39	9,5	37	6,4	38	"PCL-R; MINI"	Multiple	"STAI; BIS/BAS; educational level"	No	No		No	?26	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	HS		No	E_N	performance		No		N_U	No		7,3900	3,1600	10,5300	5,3200	250-400	late	No	400	-0,6904	0,1251
4	4	Chang et al. 2009	Chang	2009	Error monitoring in college students with attention-deficit/hyperactivity disorder	Journal of psychophysiology		Clinical	ADHD	ADHD	Clinical ADHD	Adult ADHD	Adult ADHD	A_A_YesOff	Adult	36	32	68	USA	Both	50	23,69	3,73	23,68	3,65	23,685	Adult self-report + CAARS	Self-report	ASR, IQ, BRIEF-A	Yes	Symptoms	depr, anx, avoint person, ADHD, antisocial pers	YesMix		EriksenFlanker	Eriksen & Eriksen, 1974	Yes	HS	between 10 to 30%	No	E_N	self reported performance, performance, rela btwn ERP+self reported behavior		No		Y	YesOff	2	6,9100	4,1300	5,7100	3,9600	120-400	early	Yes	480	0,2928	0,0597
5	5	Czobor et al. 2017	Czobor	2017	Electrophysiological indices of aberrant error-processing in adults with ADHD: A new region of interest	Brain Imaging and Behavior		Clinical	ADHD	ADHD	Clinical ADHD	Adult ADHD	Adult ADHD	A_A_YesOn	Adult	22	29	51	Hungary	Both	70,59	30,6	9,7	30,1	9	30,35	"DSM-IV; CAARS; ARS"	Self-report	SCL/CAARs	No	No		No		GoNoGo		Yes	IAPS =ve, -ve, n pictures for arousal	go:.85, nogo .15	No	G_N	performance		No	CLARA (localizing)	Y	YesOn		2,3000	1,4071	3,3000	1,615549442	200-400	late	No		-0,6437	0,084
6	6	Franken et al. 2007	Franken	2007	Error-processing deficits in patients with cocaine dependence	Biological Psychology	patients were min 1 month clean	Clinical	Addiction	Cocaine	Clinical Addiction	Adult Addiction	Clinical Addiction	D_Unknown	Adult	14	13	27	NL	Both	77,78	38,1	10,2	32	13,8	35,05	DSM-IV	Specialist	previous heroin use	No	No		No		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	performance	educational level	Yes	"N1; N2; P3"	N_U	Unknown		4,1899	7,4346	9,7359	5,9290	200-400	late	No	400	-0,7962	0,1601
7	7	Franken et al. 2010	Franken	2010	Evidence for a deficit in the salience attribution to errors in smokers	Drug and Alcohol Dependence		Subclinical	Addiction	Tobacco	Subclinical Addiction	Adult Addiction	Subclinical Addiction	S_Unknown	Adult	23	28	51	NL	Both	47,82	21,7	2,7	21,3	2,8	21,5	Qf-index, PANAS, Fagerstrom T for nico dep, Q on smoking urges	Self-report	Smokerlyzer	No	No		No		EriksenFlanker	Eriksen & Eriksen, 1974	No	Hs		Yes	E_Y	performance		Yes	"N1/P1; N2/P2; P3"	N_U	Unknown		8,7297	7,0918	10,5893	7,1118	200-400	late	No	400	-0,2578	0,0798
8	8	Franken et al. 2017	Franken	2017	Cognitive control in young heavy drinkers: An ERP study	Drug and Alcohol Dependence	light' and heavy drinkers. Two inhibition tasks used, consider separate study?	Subclinical	Addiction	Alcohol	Subclinical Addiction	Adult Addiction	Subclinical Addiction	S_Unknown	Adult	48	49	97	NL	Both	49	23,4	10	22,9	8,5	23,15	QFV index	Self-report		No	No		No	QFV: excessive = heavy	EriksenFlanker	Little et al., 2012 & Eriksen & Eriksen, 1974	No	"flanker: SH; go/nogo: letters"		Yes	E_Y	performance (fl)		Yes	"N2; P3"	N_U	Unknown		4,1830	6,1050	4,6229	7,3250	200-400	late	No	636	-0,0647	0,0413
9	9	Franken et al. 2018	Franken	2018	Food addiction is associated with impaired performance monitoring	Biological Psychology	part selected from larger validation study	Subclinical	Addiction	Food	Subclinical Addiction	Adult Addiction	Subclinical Addiction	S_No	Adult	34	34	68	NL	Both	12	19,9	1,7	20,8	3	20,35	YFAS	Self-report	BIS-11, medication use, smoking status, other drug.sub use/freq, BMI	No	No		No	?3 symptoms	EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	performance	"correlations with pe and n symptoms; Pe and BMI, "	No		N_U	No	excl crit	4,9900	5,8900	7,8200	5,7700	200-400	late	No	400	-0,4799	0,0605
10	10	Groom et al. 2010	Groom	2010	Electrophysiological indices of abnormal error-processing in adolescents with attention deficit hyperactivity disorder (ADHD)	Journal of Child Psychology and Psychiatry	Sample from larger study, Groom et al. 2008	Clinical	ADHD	ADHD	Clinical ADHD	Child ADHD	Child ADHD	C_A_YesOff	Child	23	19	42	UK	Both	73,81	16,2	0,28	16,14	2,03	16,17	PACS, SDQ, SCQ	Multiple	IQ, SES, SCAN	Yes	Disorders	CD, ODD	YesExt		GoNoGo		No	KX	.2	No	G_N	performance		Yes	theta power, ITC	Y	YesOff	24	9,6700	3,9000	11,5500	4,2900	100-350	early	Yes	304	-0,4521	0,0985
11	11	Herrmann et al. 2010a	Hermann	2010	Neural correlates of performance monitoring in adult patients with attention deficit hyperactivity disorder (ADHD)	World of Journal of Biolocial Psychiatry	YoungSample	Clinical	ADHD	ADHD	Clinical ADHD	Adult ADHD	Adult ADHD	A_A_YesOff	Adult	17	8,5	25,5	DE	Both	50	25,2	4,4	24,2	3,1	24,7	"ICD-10; WURS"	Multiple	ASRS	No	No		No	sumscore ? 17	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	Arrows	.25	Yes	E_Y	performance	correlations btwn ERN/PE and ASRS symptoms	No		Y	YesOff	72	6,3600	2,9200	10,5400	4,5100	110 -450	early	No		-1,1535	0,2026
11	12	Herrmann et al. 2010b	Hermann	2010	Neural correlates of performance monitoring in adult patients with attention deficit hyperactivity disorder (ADHD)	World of Journal of Biolocial Psychiatry	ElderlySample	Clinical	ADHD	ADHD	Clinical ADHD	Adult ADHD	Adult ADHD	A_A_YesOff	Adult	17	8,5	25,5	DE	Both	55,88	40,9	6,8	39,7	6,6	40,3	"ICD-10; WURS"	Multiple	ASRS	No	No		No	sumscore ? 17	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	Arrows	.25	Yes	E_Y	performance	correlations btwn ERN/PE and ASRS symptoms	No		Y	YesOff	72	7,5200	2,6900	9,6000	2,6800	110 -450	early	No		-0,7491	0,1875
12	13	Jonkman et al. 2007	Jonkman	2007	Methylphenidate improves deficient error evaluation in children with ADHD: An event-related brain potential study	Biological Psychology	two studies on MPH, sample used from Jonkman 1999	Clinical	ADHD	ADHD	Clinical ADHD	Child ADHD	Child ADHD	C_A_YesOff	Child	10	10	20	NL	Both		9,5	2,11	10,76	1,18	10,13	CBCL, TRF	Multiple	IQ	No	No		No		EriksenFlanker	Eriksen & Eriksen, 1974	No	Arrows	.25	No	E_N	performance		Yes	N2	Y	YesOff	72	3,4000	7,4000	11,2000	7,5000	200-450	late	No	480	-1,0026	0,2251
13	14	Littel et al. 2012	Littel	2012	Error processing and response inhibiiton in excessivve computer game players: An event-related potential study	Addiction Biology		Subclinical	Addiction	Gaming	Subclinical Addiction	Adult Addiction	Subclinical Addiction	S_No	Adult	25	27	52	NL	Both	63,46	20,52	2,95	21,42	2,59	20,97	VAT (CIUS)	Self-report	"VEIQ; QFV"	No	No		No	2,5 VAT score	GoNoGo		Yes	ABCD/ABCC 		No	G_N	performance	higher impulsivity scores	Yes	"N1; P3"	N_U	No		8,1300	5,2970	7,8800	7,0330	200-400	late	Yes	636	0,0393	0,0771
